Survived,Pclass,SibSp,Parch,Has_Cabin,Age_capped,Fare_log,Sex_encoded,Embarked_Q,Embarked_S,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T
0,3,1,0,0,22,2.1102132003465894,0,0,1,0,0,0,0,0,0,0
1,1,1,0,1,38,4.2805931204649,1,0,0,0,1,0,0,0,0,0
1,3,0,0,0,26,2.188856327665703,1,0,1,0,0,0,0,0,0,0
1,1,1,0,1,35,3.9908341858524357,1,0,1,0,1,0,0,0,0,0
0,3,0,0,0,35,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,28,2.246892662898172,0,1,0,0,0,0,0,0,0,0
0,1,0,0,1,54,3.967694202798607,0,0,1,0,0,0,1,0,0,0
0,3,3,1,0,2,3.0944457464900235,0,0,1,0,0,0,0,0,0,0
1,3,0,2,0,27,2.495953738718064,1,0,1,0,0,0,0,0,0,0
1,2,1,0,0,14,3.436268471383741,1,0,0,0,0,0,0,0,0,0
1,3,1,1,1,4,2.8735646395797834,1,0,1,0,0,0,0,0,1,0
1,1,0,0,1,54,3.3160025355989236,1,0,1,0,1,0,0,0,0,0
0,3,0,0,0,20,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
0,3,1,5,0,39,3.4742929367327062,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,14,2.180891922715322,1,0,1,0,0,0,0,0,0,0
1,2,0,0,0,54,2.833213344056216,1,0,1,0,0,0,0,0,0,0
0,3,4,1,0,2,3.405355391810819,0,1,0,0,0,0,0,0,0,0
1,2,0,0,0,28,2.6390573296152584,0,0,1,0,0,0,0,0,0,0
0,3,1,0,0,31,2.9444389791664403,1,0,1,0,0,0,0,0,0,0
1,3,0,0,0,28,2.1071782966514356,1,0,0,0,0,0,0,0,0,0
0,2,0,0,0,35,3.295836866004329,0,0,1,0,0,0,0,0,0,0
1,2,0,0,1,34,2.6390573296152584,0,0,1,0,0,1,0,0,0,0
1,3,0,0,0,15,2.2004637699272855,1,1,0,0,0,0,0,0,0,0
1,1,0,0,1,28,3.597312260588446,0,0,1,0,0,0,0,0,0,0
0,3,3,1,0,8,3.0944457464900235,1,0,1,0,0,0,0,0,0,0
1,3,1,5,0,38,3.4777725458882283,1,0,1,0,0,0,0,0,0,0
0,3,0,0,0,28,2.1071782966514356,0,0,0,0,0,0,0,0,0,0
0,1,3,2,1,19,5.575949103146316,0,0,1,0,1,0,0,0,0,0
1,3,0,0,0,28,2.1837114628556327,1,1,0,0,0,0,0,0,0,0
0,3,0,0,0,28,2.1855792552411137,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,40,3.357621598945279,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,28,4.993969182787072,1,0,0,1,0,0,0,0,0,0
1,3,0,0,0,28,2.169053700369523,1,1,0,0,0,0,0,0,0,0
0,2,0,0,0,54,2.4423470353692043,0,0,1,0,0,0,0,0,0,0
0,1,1,0,0,28,4.420896324687287,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,42,3.970291913552122,0,0,1,0,0,0,0,0,0,0
1,3,0,0,0,28,2.1076888046179385,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,21,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
0,3,2,0,0,18,2.9444389791664403,1,0,1,0,0,0,0,0,0,0
1,3,1,0,0,14,2.5048481563289,1,0,0,0,0,0,0,0,0,0
0,3,1,0,0,40,2.348991465808201,1,0,1,0,0,0,0,0,0,0
0,2,1,0,0,27,3.091042453358316,1,0,1,0,0,0,0,0,0,0
0,3,0,0,0,28,2.1855792552411137,0,0,0,0,0,0,0,0,0,0
1,2,1,2,0,3,3.7513658711253766,1,0,0,0,0,0,0,0,0,0
1,3,0,0,0,19,2.1837114628556327,1,1,0,0,0,0,0,0,0,0
0,3,0,0,0,28,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
0,3,1,0,0,28,2.803360380906535,0,1,0,0,0,0,0,0,0,0
1,3,0,0,0,28,2.169053700369523,1,1,0,0,0,0,0,0,0,0
0,3,2,0,0,28,3.1214482048688246,0,0,0,0,0,0,0,0,0,0
0,3,1,0,0,18,2.9338568698359038,1,0,1,0,0,0,0,0,0,0
0,3,4,1,0,7,3.705920919968788,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,21,2.174751721484161,0,0,1,0,0,0,0,0,0,0
1,1,1,0,1,49,4.353230991152628,1,0,0,0,0,1,0,0,0,0
1,2,1,0,0,29,3.295836866004329,1,0,1,0,0,0,0,0,0,0
0,1,0,1,1,54,4.142804513146981,0,0,0,1,0,0,0,0,0,0
1,1,0,0,1,28,3.597312260588446,0,0,1,0,1,0,0,0,0,0
1,2,0,0,0,21,2.4423470353692043,1,0,1,0,0,0,0,0,0,0
0,3,0,0,0,28,2.1076888046179385,0,0,0,0,0,0,0,0,0,0
1,2,1,2,0,5,3.3586377672433594,1,0,1,0,0,0,0,0,0,0
0,3,5,2,0,11,3.8691155044168695,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,22,2.1076888046179385,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,38,4.394449154672439,1,0,1,1,0,0,0,0,0,0
0,1,1,0,1,45,4.436455632600354,0,0,1,0,1,0,0,0,0,0
0,3,3,2,0,4,3.3638415951183864,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,28,3.357621598945279,0,0,0,0,0,0,0,0,0,0
1,3,1,1,0,28,2.7878344138303452,0,0,0,0,0,0,0,0,0,0
1,2,0,0,1,29,2.4423470353692043,1,0,1,0,0,0,0,1,0,0
0,3,0,0,0,19,2.2146605719425225,0,0,1,0,0,0,0,0,0,0
1,3,4,2,0,17,2.188856327665703,1,0,1,0,0,0,0,0,0,0
0,3,2,0,0,26,2.2682524139135403,0,0,1,0,0,0,0,0,0,0
0,2,0,0,0,32,2.4423470353692043,0,0,1,0,0,0,0,0,0,0
0,3,5,2,0,16,3.8691155044168695,1,0,1,0,0,0,0,0,0,0
0,2,0,0,0,21,4.310799125385514,0,0,1,0,0,0,0,0,0,0
0,3,1,0,0,26,2.737880811060884,0,0,0,0,0,0,0,0,0,0
1,3,0,0,0,32,4.05171190165724,0,0,1,0,0,0,0,0,0,0
0,3,0,0,1,25,2.157559320943788,0,0,1,0,0,0,0,1,0,0
0,3,0,0,0,28,2.1855792552411137,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,28,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
1,2,0,2,0,2,3.4011973816621555,0,0,1,0,0,0,0,0,0,0
1,3,0,0,0,30,2.600836116795061,1,0,1,0,0,0,0,0,0,0
0,3,0,0,0,22,2.302585092994046,0,0,1,0,0,0,0,0,0,0
1,3,0,0,0,29,2.3513752571634776,0,0,1,0,0,0,0,0,0,0
1,3,0,0,0,28,2.1733302571367834,1,1,0,0,0,0,0,0,0,0
0,1,0,0,0,28,3.8732821771117156,0,0,1,0,0,0,0,0,0,0
1,2,0,0,0,17,2.4423470353692043,1,0,1,0,0,0,0,0,0,0
1,3,3,0,0,33,2.8243506567983707,1,0,1,0,0,0,0,0,0,0
0,3,1,3,0,16,3.5660053559634015,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,28,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
1,1,3,2,1,23,5.575949103146316,1,0,1,0,1,0,0,0,0,0
0,3,0,0,0,24,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,29,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,20,2.180891922715322,0,0,1,0,0,0,0,0,0,0
0,1,1,0,1,46,4.1299529896894684,0,0,1,0,0,0,1,0,0,0
0,3,1,2,0,26,3.0715352369694915,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,54,2.1102132003465894,0,0,1,0,0,0,0,0,0,0
0,3,0,0,0,28,2.2027647577118348,0,0,1,0,0,0,0,0,0,0
0,1,0,0,1,54,3.57386695198272,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,23,4.164465907853638,0,0,0,0,0,1,0,0,0,0
